"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17664","Checking finding selenide repository at the search top","","Sun Jan 19 14:18:08 GMT 2025","failed","Sun Jan 19 14:18:26 GMT 2025","","qa.github.GithubSelenideTests","qa.github.GithubSelenideTests","shouldFindSelenideRepositoryAtTheTopTest"
"","16411","Checking Enterprise in Solution menu","","Sun Jan 19 14:18:08 GMT 2025","passed","Sun Jan 19 14:18:25 GMT 2025","","qa.github.GithubSelenideTests","qa.github.GithubSelenideTests","checkEnterpriseInSolutionTest"
"","17814","Checking issue in github repository with step annotation and dynamic labels","","Sun Jan 19 14:18:08 GMT 2025","failed","Sun Jan 19 14:18:26 GMT 2025","","qa.github.GitHubAllureTests","qa.github.GitHubAllureTests","shouldHaveIssueWebStepsTest"
"","17507","Checking issue in github repository with step methods and static labels","","Sun Jan 19 14:18:08 GMT 2025","failed","Sun Jan 19 14:18:26 GMT 2025","","qa.github.GitHubAllureTests","qa.github.GitHubAllureTests","shouldHaveIssueTest"
"","9055","Checking soft assertions page contains JUnit5 info for selenide repository","","Sun Jan 19 14:18:09 GMT 2025","passed","Sun Jan 19 14:18:18 GMT 2025","","qa.github.GithubSelenideTests","qa.github.GithubSelenideTests","checkSoftAssertionsPageForSelenideRepositoryTest"
"","50786","Checking top contributor in selenide repository","","Sun Jan 19 14:18:08 GMT 2025","passed","Sun Jan 19 14:18:59 GMT 2025","","qa.github.GithubSelenideTests","qa.github.GithubSelenideTests","solntsevShouldBeTheTopContributorTest"
