"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","55941","successfulLoginWithSubmitButtonTest()","","Sat Jan 18 19:25:05 GMT 2025","passed","Sat Jan 18 19:26:01 GMT 2025","","qa.qaguru.QaGuruLoginTests","qa.qaguru.QaGuruLoginTests","successfulLoginWithSubmitButtonTest"
"","8418","Checking top contributor in selenide repository","","Sat Jan 18 19:25:05 GMT 2025","passed","Sat Jan 18 19:25:14 GMT 2025","","qa.github.GithubSelenideTests","qa.github.GithubSelenideTests","solntsevShouldBeTheTopContributorTest"
"","168","zipParserCsvTest()","","Sat Jan 18 19:25:06 GMT 2025","passed","Sat Jan 18 19:25:06 GMT 2025","","qa.file.FileParserTests","qa.file.FileParserTests","zipParserCsvTest"
"","90123","Checking finding selenide repository at the search top","","Sat Jan 18 19:25:06 GMT 2025","broken","Sat Jan 18 19:26:36 GMT 2025","","qa.github.GithubSelenideTests","qa.github.GithubSelenideTests","shouldFindSelenideRepositoryAtTheTopTest"
"","90057","Checking Enterprise in Solution menu","","Sat Jan 18 19:25:06 GMT 2025","broken","Sat Jan 18 19:26:36 GMT 2025","","qa.github.GithubSelenideTests","qa.github.GithubSelenideTests","checkEnterpriseInSolutionTest"
"","14","successfulLoginWithEnterTest(Browser) [3] EDGE","","Sat Jan 18 19:27:06 GMT 2025","broken","Sat Jan 18 19:27:06 GMT 2025","","qa.qaguru.QaGuruLoginTests","qa.qaguru.QaGuruLoginTests","successfulLoginWithEnterTest"
"","90063","pdfParserTest()","","Sat Jan 18 19:25:06 GMT 2025","broken","Sat Jan 18 19:26:36 GMT 2025","","qa.file.FileParserTests","qa.file.FileParserTests","pdfParserTest"
"","16453","successfulSearchWithSubmitButtonTest()","","Sat Jan 18 19:25:05 GMT 2025","failed","Sat Jan 18 19:25:22 GMT 2025","","qa.google.GoogleSearchTests","qa.google.GoogleSearchTests","successfulSearchWithSubmitButtonTest"
"","3524","jsonParserWithJacksonByPojoTest()","","Sat Jan 18 19:25:06 GMT 2025","passed","Sat Jan 18 19:25:10 GMT 2025","","qa.file.FileParserTests","qa.file.FileParserTests","jsonParserWithJacksonByPojoTest"
"","78730","Checking issue in github repository with step methods and static labels","","Sat Jan 18 19:25:05 GMT 2025","passed","Sat Jan 18 19:26:24 GMT 2025","","qa.github.GitHubAllureTests","qa.github.GitHubAllureTests","shouldHaveIssueTest"
"","85292","unsuccessfulLoginTest()","","Sat Jan 18 19:25:06 GMT 2025","passed","Sat Jan 18 19:26:31 GMT 2025","","qa.qaguru.QaGuruLoginTests","qa.qaguru.QaGuruLoginTests","unsuccessfulLoginTest"
