"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","90265","selenideDownloadTest()","","Sun Jan 19 12:08:42 GMT 2025","broken","Sun Jan 19 12:10:12 GMT 2025","","qa.file.FileParserTests","qa.file.FileParserTests","selenideDownloadTest"
"","62258","testAutomationPracticeFormWithJavaFakerTest()","","Sun Jan 19 12:08:41 GMT 2025","failed","Sun Jan 19 12:09:44 GMT 2025","","qa.demoqa.AutomationPracticeFormPageObjectTests","qa.demoqa.AutomationPracticeFormPageObjectTests","testAutomationPracticeFormWithJavaFakerTest"
"","16693","Checking Enterprise in Solution menu","","Sun Jan 19 12:08:42 GMT 2025","passed","Sun Jan 19 12:08:59 GMT 2025","","qa.github.GithubSelenideTests","qa.github.GithubSelenideTests","checkEnterpriseInSolutionTest"
"","93263","testAutomationPracticeFormTest()","","Sun Jan 19 12:08:41 GMT 2025","failed","Sun Jan 19 12:10:15 GMT 2025","","qa.demoqa.AutomationPracticeFormTests","qa.demoqa.AutomationPracticeFormTests","testAutomationPracticeFormTest"
"","90059","Checking soft assertions page contains JUnit5 info for selenide repository","","Sun Jan 19 12:08:42 GMT 2025","broken","Sun Jan 19 12:10:12 GMT 2025","","qa.github.GithubSelenideTests","qa.github.GithubSelenideTests","checkSoftAssertionsPageForSelenideRepositoryTest"
"","80633","Checking top contributor in selenide repository","","Sun Jan 19 12:08:42 GMT 2025","passed","Sun Jan 19 12:10:03 GMT 2025","","qa.github.GithubSelenideTests","qa.github.GithubSelenideTests","solntsevShouldBeTheTopContributorTest"
"","78155","successfulSearchWithSubmitButtonTest()","","Sun Jan 19 12:08:42 GMT 2025","failed","Sun Jan 19 12:10:00 GMT 2025","","qa.google.GoogleSearchTests","qa.google.GoogleSearchTests","successfulSearchWithSubmitButtonTest"
"","36","zipParserTxtTest()","","Sun Jan 19 12:08:42 GMT 2025","passed","Sun Jan 19 12:08:42 GMT 2025","","qa.file.FileParserTests","qa.file.FileParserTests","zipParserTxtTest"
"","37","successfulLoginWithEnterTest(Browser) [5] OPERA","","Sun Jan 19 12:10:47 GMT 2025","broken","Sun Jan 19 12:10:47 GMT 2025","","qa.qaguru.QaGuruLoginTests","qa.qaguru.QaGuruLoginTests","successfulLoginWithEnterTest"
"","90070","pdfParserTest()","","Sun Jan 19 12:08:42 GMT 2025","broken","Sun Jan 19 12:10:12 GMT 2025","","qa.file.FileParserTests","qa.file.FileParserTests","pdfParserTest"
"","17444","Checking issue in github repository with step annotation and dynamic labels","","Sun Jan 19 12:08:41 GMT 2025","passed","Sun Jan 19 12:08:58 GMT 2025","","qa.github.GitHubAllureTests","qa.github.GitHubAllureTests","shouldHaveIssueWebStepsTest"
"","4400","xlsParserTest()","","Sun Jan 19 12:08:43 GMT 2025","passed","Sun Jan 19 12:08:47 GMT 2025","","qa.file.FileParserTests","qa.file.FileParserTests","xlsParserTest"
"","330","jsonParserWithGSONByPojoTest()","","Sun Jan 19 12:08:42 GMT 2025","passed","Sun Jan 19 12:08:43 GMT 2025","","qa.file.FileParserTests","qa.file.FileParserTests","jsonParserWithGSONByPojoTest"
"","90027","unsuccessfulLoginTest()","","Sun Jan 19 12:08:42 GMT 2025","broken","Sun Jan 19 12:10:12 GMT 2025","","qa.qaguru.QaGuruLoginTests","qa.qaguru.QaGuruLoginTests","unsuccessfulLoginTest"
"","71","csvParserTest()","","Sun Jan 19 12:08:42 GMT 2025","passed","Sun Jan 19 12:08:42 GMT 2025","","qa.file.FileParserTests","qa.file.FileParserTests","csvParserTest"
"","462","jsonParserWithGSONTest()","","Sun Jan 19 12:08:41 GMT 2025","passed","Sun Jan 19 12:08:41 GMT 2025","","qa.file.FileParserTests","qa.file.FileParserTests","jsonParserWithGSONTest"
"","3681","jsonParserWithJacksonByPojoTest()","","Sun Jan 19 12:08:42 GMT 2025","passed","Sun Jan 19 12:08:46 GMT 2025","","qa.file.FileParserTests","qa.file.FileParserTests","jsonParserWithJacksonByPojoTest"
"","94","zipParserCsvTest()","","Sun Jan 19 12:08:42 GMT 2025","passed","Sun Jan 19 12:08:42 GMT 2025","","qa.file.FileParserTests","qa.file.FileParserTests","zipParserCsvTest"
"","90090","successfulLoginWithSubmitButtonTest()","","Sun Jan 19 12:08:42 GMT 2025","broken","Sun Jan 19 12:10:12 GMT 2025","","qa.qaguru.QaGuruLoginTests","qa.qaguru.QaGuruLoginTests","successfulLoginWithSubmitButtonTest"
